Wed Apr 15 2015 Orlando Magic vs Brooklyn Nets; home win = 1,
Wed Apr 15 2015 Atlanta Hawks vs Chicago Bulls; home win = 1,
Wed Apr 15 2015 Washington Wizards vs Cleveland Cavaliers; home win = 1,
Wed Apr 15 2015 Portland Trail Blazers vs Dallas Mavericks; home win = 0,
Wed Apr 15 2015 Denver Nuggets vs Golden State Warriors; home win = 1,
Wed Apr 15 2015 Utah Jazz vs Houston Rockets; home win = 1,
Wed Apr 15 2015 Sacramento Kings vs Los Angeles Lakers; home win = 0,
Wed Apr 15 2015 Indiana Pacers vs Memphis Grizzlies; home win = 1,
Wed Apr 15 2015 Boston Celtics vs Milwaukee Bucks; home win = 0,
Wed Apr 15 2015 Oklahoma City Thunder vs Minnesota Timberwolves; home win = 0,
Wed Apr 15 2015 San Antonio Spurs vs New Orleans Pelicans; home win = 0,
Wed Apr 15 2015 Detroit Pistons vs New York Knicks; home win = 0,
Wed Apr 15 2015 Miami Heat vs Philadelphia 76ers; home win = 0,
Wed Apr 15 2015 Charlotte Hornets vs Toronto Raptors; home win = 1,
